Month,Borough,Average Price,,,,,,,,,,
Aug-19,Barking & Dagenham," £299,421.26 ",,,,,,,,,,
Aug-19,Barnet," £528,576.61 ",,,,,,,,,,
Aug-19,Bexley," £337,522.60 ",,,,,,,,,,
Aug-19,Brent," £488,784.36 ",,,,,,,,,,
Aug-19,Bromley," £442,189.47 ",,,,,,,,,,
Aug-19,Camden," £863,170.61 ",,,,,,,,,,
Aug-19,Croydon," £364,540.25 ",,,,,,,,,,
Aug-19,Ealing," £474,627.27 ",,,,,,,,,,
Aug-19,Enfield," £393,032.64 ",,,,,,,,,,
Aug-19,Greenwich," £396,857.85 ",,,,,,,,,,
Aug-19,Hackney," £567,269.47 ",,,,,,,,,,
Aug-19,Hammersmith & Fulham," £729,659.39 ",,,,,,,,,,
Aug-19,Haringey," £544,193.75 ",,,,,,,,,,
Aug-19,Harrow," £450,373.42 ",,,,,,,,,,
Aug-19,Havering," £367,502.27 ",,,,,,,,,,
Aug-19,Hillingdon," £397,385.23 ",,,,,,,,,,
Aug-19,Hounslow," £401,911.24 ",,,,,,,,,,
Aug-19,Islington," £643,334.67 ",,,,,,,,,,
Aug-19,Kensington & Chelsea," £1,248,525.50 ",,,,,,,,,,
Aug-19,Kingston upon Thames," £508,405.21 ",,,,,,,,,,
Aug-19,Lambeth," £519,955.60 ",,,,,,,,,,
Aug-19,Lewisham," £416,884.62 ",,,,,,,,,,
Aug-19,Merton," £517,489.50 ",,,,,,,,,,
Aug-19,Newham," £361,920.34 ",,,,,,,,,,
Aug-19,Redbridge," £421,318.63 ",,,,,,,,,,
Aug-19,Richmond upon Thames," £657,973.74 ",,,,,,,,,,
Aug-19,Southwark," £496,717.55 ",,,,,,,,,,
Aug-19,Sutton," £368,908.35 ",,,,,,,,,,
Aug-19,Tower Hamlets," £441,364.14 ",,,,,,,,,,
Aug-19,Waltham Forest," £427,415.75 ",,,,,,,,,,
Aug-19,Wandsworth," £592,250.95 ",,,,,,,,,,
Aug-19,Westminster," £905,951.07 ",,,,,,,,,,
