Month,NumberOfHires
2010-07,12461
2010-08,341203
2010-09,540859
2010-10,544412
2010-11,456304
2010-12,285574
2011-01,403178
2011-02,398292
2011-03,556155
2011-04,673639
2011-05,722072
2011-06,638717
2011-07,708454
2011-08,642440
2011-09,684780
2011-10,708802
2011-11,597191
2011-12,408729
2012-01,494325
2012-02,481826
2012-03,818209
2012-04,649473
2012-05,926952
2012-06,858805
2012-07,1014174
2012-08,1163171
2012-09,1015145
2012-10,856866
2012-11,726893
2012-12,513444
2013-01,565589
2013-02,516588
2013-03,504611
2013-04,658230
2013-05,749934
2013-06,813631
2013-07,998755
2013-08,904155
2013-09,701724
2013-10,674154
2013-11,514146
2013-12,443942
2014-01,493870
2014-02,522940
2014-03,757864
2014-04,805571
2014-05,890709
2014-06,1052573
2014-07,1183182
2014-08,1055206
2014-09,1058684
2014-10,907998
2014-11,715447
2014-12,579853
2015-01,583663
2015-02,549278
2015-03,701384
2015-04,838543
2015-05,899969
2015-06,1039768
2015-07,1134816
2015-08,1042932
2015-09,903429
2015-10,885375
2015-11,684518
2015-12,608164
2016-01,586325
2016-02,597641
2016-03,664485
2016-04,763308
2016-05,1013666
2016-06,963232
2016-07,1188428
2016-08,1158393
2016-09,1053039
2016-10,945143
2016-11,711002
2016-12,658975
2017-01,638491
2017-02,618550
2017-03,819752
2017-04,917716
2017-05,992601
2017-06,1098294
2017-07,1131838
2017-08,994199
2017-09,934751
2017-10,973682
2017-11,792082
2017-12,534088
2018-01,645901
2018-02,576425
2018-03,604921
2018-04,824737
2018-05,1112686
2018-06,1181642
2018-07,1253102
2018-08,1058181
2018-09,1008201
2018-10,978290
2018-11,738024
2018-12,585430
2019-01,685798
2019-02,698917
2019-03,792272
2019-04,890148
2019-05,1006547
2019-06,1006434
2019-07,1152150
2019-08,1053921
2019-09,965581
2019-10,851999
2019-11,729111
2019-12,592077
2020-01,709514
2020-02,640981
2020-03,553341
2020-04,591058
2020-05,1120620
2020-06,1158021
2020-07,1169418
