Month,Boroughs,SaleVol,,,,,,
2019-06,City of London,15,,,,,,
2019-06,Barking & Dagenham,125,,,,,,
2019-06,Barnet,388,,,,,,
2019-06,Bexley,241,,,,,,
2019-06,Brent,106,,,,,,
2019-06,Bromley,346,,,,,,
2019-06,Camden,153,,,,,,
2019-06,Croydon,328,,,,,,
2019-06,Ealing,215,,,,,,
2019-06,Enfield,213,,,,,,
2019-06,Greenwich,215,,,,,,
2019-06,Hackney,114,,,,,,
2019-06,Hammersmith & Fulham,328,,,,,,
2019-06,Haringey,128,,,,,,
2019-06,Harrow,148,,,,,,
2019-06,Havering,202,,,,,,
2019-06,Hillingdon,253,,,,,,
2019-06,Hounslow,296,,,,,,
2019-06,Islington,146,,,,,,
2019-06,Kensington & Chelsea,173,,,,,,
2019-06,Kingston upon Thames,115,,,,,,
2019-06,Lambeth,161,,,,,,
2019-06,Lewisham,311,,,,,,
2019-06,Merton,168,,,,,,
2019-06,Newham,241,,,,,,
2019-06,Redbridge,162,,,,,,
2019-06,Richmond upon Thames,217,,,,,,
2019-06,Southwark,163,,,,,,
2019-06,Sutton,192,,,,,,
2019-06,Tower Hamlets,263,,,,,,
2019-06,Waltham Forest,205,,,,,,
2019-06,Wandsworth,253,,,,,,
2019-06,Westminster,358,,,,,,
,,,,,,,,
,,,,,,,,
